brand,model,boardModelId,primaryLane,secondaryLanes,confidence,missingFields
Christenson,Surfer Rosa,,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Christenson,The Cliff,,longboard,,low,waveRange; surferFit
Christenson,The Cliff Pintail,,longboard,,low,waveRange; surferFit
Christenson,The Outlaw,,longboard,,medium,waveRange; surferFit; designData
Christenson,The Wolverine,8148,performance_mid_length,cruisy_mid_length,medium,waveRange; surferFit
Christenson,Tradesman,,longboard,,medium,waveRange; surferFit
Christenson,Ultra Tracker,,cruisy_mid_length,mid_length_single_fin,medium,waveRange; surferFit
Christenson,Waterlion,,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
DHD,Black Diamond,7824,forgiving_daily_driver,hybrid_daily_driver,medium,
DHD,Black Diamond EPS,7823,hybrid_daily_driver,one_board_quiver; beginner_progression,low,
DHD,Black Diamond Soft Top,7807,forgiving_daily_driver,one_board_quiver; beginner_progression,medium,
DHD,EE Juliette,7812,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
DHD,EE Juliette Jnr,7809,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
DHD,Interceptor,7816,mid_length,beginner_progression,medium,
DHD,MF Bolt,7805,forgiving_daily_driver,one_board_quiver,low,waveRange; surferFit
DHD,MF DNA,7801,high_performance_shortboard,performance_daily_driver,medium,
DHD,MF DNA Jnr,7821,high_performance_shortboard,powerful_wave_board,medium,surferFit
DHD,MF Lightning,7802,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
DHD,MF Twin,7806,twin_fin_performance,performance_fish,medium,
DHD,Mini Twin,7820,twin_fin_cruiser,fish_hybrid,medium,
DHD,Mini Twin II,7811,hybrid_daily_driver,twin_fin; one_board_quiver,low,surferFit
DHD,Nexus,7814,hybrid_daily_driver,forgiving_daily_driver,medium,
DHD,Nexus EPS,7813,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
DHD,Phoenix,7822,performance_daily_driver,one_board_quiver,medium,
DHD,Phoenix EPS Swallow Tail,7817,hybrid_daily_driver,one_board_quiver,medium,
DHD,Phoenix Flight EPS,7810,step_up,powerful_wave_board; travel_board,medium,
DHD,Sandman,7818,small_wave_daily_driver,performance_groveller,medium,
DHD,SG No.8,7815,step_up,powerful_wave_board; travel_board,medium,
DHD,Sweet Spot 4.0,7804,performance_step_up,barrel_board,medium,waveRange; surferFit
DHD,The Twin,7819,hybrid_daily_driver,twin_fin; one_board_quiver,low,surferFit
DHD,Utopia,7808,high_performance_shortboard,performance_daily_driver,medium,
DMS Surfboards,Carny,3717,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
DMS Surfboards,Gherkin,3712,hybrid_daily_driver,one_board_quiver,low,surferFit
DMS Surfboards,Seahawk,3713,hybrid_daily_driver,one_board_quiver,low,surferFit
DMS Surfboards,Stilnox,3714,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
DMS Surfboards,Supercell,3718,hybrid_daily_driver,one_board_quiver,low,surferFit
DMS Surfboards,Thunderbird,3716,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
DMS Surfboards,X-Wing,3719,hybrid_daily_driver,one_board_quiver,low,surferFit
DMS Surfboards,Zephyr,3715,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Firewire,Boss Up,7968,performance_mid_length,step_up_mid_length,medium,waveRange; surferFit
Firewire,Dominator 2.0,7961,forgiving_daily_driver,hybrid_daily_driver; one_board_quiver,medium,waveRange; surferFit
Firewire,Dominator Pro,7958,performance_daily_driver,high_performance_shortboard,medium,waveRange; surferFit
Firewire,DRK,7954,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
